variables,units,values,description
rotorse.rs.bjs.S_mat,Pa,"[[0.0000e+00 0.0000e+00 0.0000e+00]
 [3.6610e+07 3.6610e+07 3.6610e+07]
 [3.0170e+07 1.8970e+07 6.2100e+06]
 [3.0170e+07 1.8970e+07 6.2100e+06]
 [1.2446e+08 1.8970e+07 6.2100e+06]
 [8.5060e+07 1.8970e+07 6.2100e+06]
 [1.2500e+06 1.2500e+06 1.2500e+06]
 [0.0000e+00 0.0000e+00 0.0000e+00]
 [0.0000e+00 0.0000e+00 0.0000e+00]
 [0.0000e+00 0.0000e+00 0.0000e+00]]",
rotorse.rs.bjs.Se_insert,Pa,[3.16e+08],insert material endurance limit. [float]
rotorse.rs.bjs.mu_joint,,[0.5],steel insert friction factor. [float]
rotorse.rs.bjs.joint_position,,[0.7],nondimensionalized joint position along blade
rotorse.rs.bjs.bolt_spacing_dia,,[3.],joint bolt spacing along sparcap in y. [int]
rotorse.rs.bjs.ply_drop_slope,,[0.125],required ply drop slope. [float]
rotorse.rs.bjs.t_adhesive,m,[0.005],insert-sparcap adhesive thickness. [float]
rotorse.rs.bjs.t_max_sc,,[0.25],maximum spar cap thickness per spar cap height. [float]
rotorse.rs.bjs.w_sc,m,[0.02],original spar cap width. [float]
rotorse.rs.bjs.t_sc,m,[0.8],original spar cap thickness. [float]
rotorse.rs.bjs.chord,m,"[4.5        4.51653455 4.59255455 4.72026865 4.75       4.75
 4.75       4.75       4.75       4.75       4.75       4.7
 4.64       4.48       4.30815493 4.07109567 3.83078655 3.59377787
 3.3535724  3.10972681 2.86394905 2.61780457 2.37255549 2.12536608
 1.87360817 1.6133977  1.34551447 1.07050448 0.78813172 0.5       ]",chord length at joint station. [(n_span x 3) 1D array of float]
rotorse.rs.bjs.layer_thickness,m,"[[0.001      0.001      0.001      0.001      0.001      0.001
  0.001      0.001      0.001      0.001      0.001      0.001
  0.001      0.001      0.001      0.001      0.001      0.001
  0.001      0.001      0.001      0.001      0.001      0.001
  0.001      0.001      0.001      0.001      0.001      0.001     ]
 [0.041      0.033      0.026      0.02       0.015      0.011
  0.00828454 0.00651243 0.00536208 0.00470248 0.00440263 0.00433155
  0.00435823 0.00435168 0.00430703 0.0042194  0.00408392 0.00389572
  0.00364992 0.00334165 0.00298133 0.00257936 0.00214615 0.00169212
  0.00122768 0.001      0.001      0.001      0.001      0.001     ]
 [0.         0.01036386 0.01802123 0.02536166 0.03206819 0.03782389
  0.04231181 0.045215   0.04621651 0.04569527 0.04403017 0.04160014
  0.03878408 0.03596091 0.03350953 0.03135807 0.02943466 0.02766741
  0.02598444 0.02431388 0.02258386 0.02080428 0.01898505 0.01713608
  0.0152673  0.0133886  0.0115099  0.0096312  0.0077525  0.00587381]
 [0.         0.01247806 0.01761157 0.02274509 0.02766418 0.03215441
  0.03600136 0.0389906  0.04090771 0.04153826 0.04110173 0.03981761
  0.0379054  0.03558457 0.03307463 0.03059505 0.02815655 0.02576987
  0.02344572 0.02119482 0.01902789 0.01695567 0.01496235 0.01303217
  0.01114933 0.00929806 0.00746257 0.00562708 0.00379159 0.00195611]
 [0.         0.         0.00665003 0.00814812 0.00964621 0.0111443
  0.01260256 0.01398116 0.01524026 0.01634003 0.01724065 0.01790228
  0.01832761 0.01851932 0.01848012 0.01821267 0.01771968 0.01700382
  0.01610578 0.01506624 0.01392586 0.01272533 0.01150532 0.01030652
  0.00912537 0.00795837 0.00680196 0.00565261 0.0045068  0.003361  ]
 [0.         0.         0.02334323 0.02514806 0.0269529  0.02875774
  0.03056258 0.03236741 0.03399538 0.0352696  0.03601321 0.03604932
  0.03520108 0.0332916  0.03059387 0.02738085 0.02392552 0.02050085
  0.01737982 0.0148354  0.01277149 0.01109198 0.00970078 0.00850179
  0.0073989  0.006296   0.00519311 0.00409022 0.00298732 0.        ]
 [0.         0.         0.01864022 0.02290439 0.02716855 0.03128208
  0.03509432 0.03845464 0.04121238 0.04321692 0.0443176  0.04463178
  0.04427681 0.04337004 0.04202882 0.04037051 0.03851246 0.03646388
  0.03423398 0.03183196 0.02926705 0.02654845 0.02368537 0.02070189
  0.01762209 0.01447005 0.01126986 0.00804558 0.00482131 0.00159703]
 [0.         0.         0.01067832 0.01302775 0.01537718 0.0177266
  0.02007603 0.02234366 0.02444771 0.02630638 0.02783787 0.0289604
  0.02959217 0.02979168 0.02961743 0.02912793 0.02838168 0.02743718
  0.02635293 0.02511064 0.02369203 0.0220788  0.02025266 0.01819533
  0.01588852 0.0133738  0.01069276 0.00788698 0.00499804 0.00206752]
 [0.         0.         0.01171413 0.01476495 0.01781576 0.02086658
  0.02391739 0.02696821 0.03001902 0.03295299 0.03565325 0.03800297
  0.03988528 0.04118335 0.04178032 0.04172736 0.04107568 0.03987644
  0.03818083 0.03604003 0.03350522 0.03064208 0.02751627 0.02419345
  0.02073929 0.01721947 0.01369965 0.01017983 0.00666001 0.00314019]
 [0.         0.         0.03598738 0.04397734 0.05196731 0.05963021
  0.066639   0.07266661 0.07738598 0.08047006 0.08159179 0.08099669
  0.07893026 0.07563804 0.07136553 0.06635826 0.06086173 0.05503573
  0.04904003 0.04303439 0.03717859 0.03163241 0.02655561 0.02186997
  0.01749725 0.01335922 0.00937765 0.00547432 0.00157099 0.001     ]
 [0.041      0.033      0.026      0.02       0.01531562 0.01261405
  0.01008929 0.00782972 0.00592376 0.00445981 0.00352627 0.00301625
  0.00282289 0.00283929 0.0029586  0.00307391 0.00307837 0.00299303
  0.00283898 0.00263728 0.00240901 0.00217523 0.00195702 0.00175179
  0.00155694 0.00136987 0.00118799 0.00100871 0.001      0.001     ]
 [0.         0.         0.         0.00216423 0.00221016 0.00225609
  0.00230203 0.00234796 0.00238579 0.0024074  0.0024047  0.00236957
  0.00229392 0.00216963 0.00201292 0.00184    0.00166708 0.00151037
  0.00138608 0.00131043 0.0012753  0.0012726  0.00129421 0.00133204
  0.00137797 0.00142391 0.00146984 0.00151577 0.0015617  0.        ]
 [0.         0.         0.         0.03748906 0.03611723 0.03474541
  0.0333631  0.03195982 0.0305251  0.02904844 0.02751938 0.02592742
  0.02433745 0.02281437 0.02142306 0.02022841 0.01929532 0.01868866
  0.01834679 0.01820803 0.02       0.02       0.02       0.02
  0.02       0.02       0.02       0.02       0.02       0.        ]
 [0.         0.         0.         0.00207236 0.0021183  0.00216423
  0.00221016 0.00225609 0.00230203 0.00234796 0.00238579 0.0024074
  0.0024047  0.00236957 0.00229392 0.00216963 0.00201292 0.00184
  0.00166708 0.00151037 0.00138608 0.00131043 0.0012753  0.0012726
  0.00129421 0.00133204 0.00137797 0.00142391 0.00146984 0.        ]
 [0.         0.         0.         0.0025176  0.00244513 0.00237266
  0.00230019 0.00222772 0.00215449 0.00207974 0.00200272 0.00192266
  0.0018388  0.00175038 0.00166147 0.0015761  0.00149834 0.00143223
  0.00138184 0.0013512  0.00133703 0.00133604 0.00134493 0.00136041
  0.00137918 0.00139795 0.00141672 0.00143549 0.00145426 0.        ]
 [0.         0.         0.         0.03770661 0.03634612 0.03498563
  0.03361392 0.03221976 0.03079194 0.02931923 0.02779041 0.02619427
  0.02459556 0.02305903 0.02164945 0.02043157 0.02       0.02
  0.02       0.02       0.02       0.02       0.02       0.02
  0.02       0.02       0.02       0.02       0.02       0.        ]
 [0.         0.         0.         0.00266254 0.00259007 0.0025176
  0.00244513 0.00237266 0.00230019 0.00222772 0.00215449 0.00207974
  0.00200272 0.00192266 0.0018388  0.00175038 0.00166147 0.0015761
  0.00149834 0.00143223 0.00138184 0.0013512  0.00133703 0.00133604
  0.00134493 0.00136041 0.00137918 0.00139795 0.00141672 0.        ]]","2D array of the thickness of the layers of the blade structure. The first dimension represents each layer, the second dimension represents each entry along blade span."
rotorse.rs.bjs.layer_start_nd,,"[[0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.16613836 0.16946286 0.16968068 0.23759495 0.2439899  0.25193115
  0.25766523 0.26174662 0.2633434  0.26210837 0.26061866 0.2616315
  0.26295985 0.26995749 0.2725209  0.27588271 0.27838647 0.27891556
  0.27802616 0.2750634  0.26980807 0.26207131 0.25166728 0.23859669
  0.22787547 0.21289915 0.19074836 0.15633559 0.10381686 0.08009451]
 [0.66614777 0.6700002  0.67712123 0.62072086 0.62727502 0.63245959
  0.63926867 0.64574535 0.64977998 0.65171232 0.65333451 0.65155042
  0.64924268 0.63950434 0.63444037 0.62711273 0.61986479 0.61356165
  0.60742732 0.60199085 0.59726565 0.59311662 0.58936694 0.58623052
  0.58444769 0.58188815 0.57826958 0.57270573 0.57374879 0.59684729]
 [0.48905595 0.48893839 0.48796411 0.48706864 0.48668455 0.48576547
  0.48502104 0.48531088 0.48564258 0.4857924  0.48611936 0.48627169
  0.48627317 0.48579129 0.48506303 0.48383156 0.48238805 0.48077685
  0.47894774 0.47684624 0.47440403 0.47152324 0.46807164 0.4638829
  0.45854522 0.4511866  0.44595877 0.44467843 0.44324233 0.44179699]
 [0.95925412 0.95895293 0.9565692  0.95388656 0.95056337 0.94780072
  0.9455854  0.94397287 0.94256868 0.94189525 0.94165198 0.94093289
  0.94012219 0.93775085 0.9348865  0.93047603 0.92519004 0.92487708
  0.92502404 0.92507998 0.92500694 0.92485823 0.92470421 0.92478851
  0.93005609 0.93027525 0.93045139 0.93065362 0.93081265 0.93112403]
 [0.04074588 0.04104707 0.0434308  0.04611344 0.04943663 0.05219928
  0.0544146  0.05602713 0.05743132 0.05810475 0.05834802 0.05906711
  0.05987781 0.06224915 0.0651135  0.06952397 0.07480996 0.07512292
  0.07497596 0.07492002 0.07499306 0.07514177 0.07529579 0.07521149
  0.06994391 0.06972475 0.06954861 0.06934638 0.06918735 0.06887597]
 [0.22272986 0.22632952 0.22948212 0.30080193 0.31138242 0.32272784
  0.33028459 0.33580147 0.33842316 0.33783338 0.33690305 0.33920465
  0.34192828 0.35209392 0.35827412 0.36697208 0.37551861 0.38277512
  0.38964944 0.39578046 0.40125954 0.40631466 0.41134025 0.41753853
  0.41993132 0.42260813 0.42604197 0.43129105 0.43340579 0.41037074]
 [0.51094271 0.51093158 0.51109232 0.51151394 0.51274861 0.51314609
  0.51310658 0.51395159 0.51467968 0.51507905 0.51562235 0.51627311
  0.5168142  0.51755755 0.51822809 0.51906037 0.51995391 0.52094453
  0.52211804 0.52353357 0.52524289 0.52730935 0.52982516 0.53308866
  0.53739617 0.54310325 0.54601304 0.54471542 0.54334969 0.54177825]
 [0.72273926 0.72686687 0.73692268 0.68392783 0.69466754 0.70325628
  0.71188804 0.71980021 0.72485974 0.72743733 0.7296189  0.72912358
  0.72821111 0.72164078 0.72019359 0.71820211 0.71699693 0.71742121
  0.7190506  0.72270791 0.72871712 0.73735997 0.74903991 0.76192904
  0.77438828 0.79040881 0.81299166 0.84716618 0.89494952 0.91659409]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.05       0.05       0.05
  0.05       0.05       0.05       0.05       0.05       0.05
  0.05       0.05       0.04       0.05       0.05       0.05      ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]]","2D array of the non-dimensional start point defined along the outer profile of a layer. The TE suction side is 0, the TE pressure side is 1. The first dimension represents each layer, the second dimension represents each entry along blade span."
rotorse.rs.bjs.layer_end_nd,,"[[1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.        ]
 [1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.        ]
 [0.22272986 0.22632952 0.22948212 0.30080193 0.31138242 0.32272784
  0.33028459 0.33580147 0.33842316 0.33783338 0.33690305 0.33920465
  0.34192828 0.35209392 0.35827412 0.36697208 0.37551861 0.38277512
  0.38964944 0.39578046 0.40125954 0.40631466 0.41134025 0.41753853
  0.41993132 0.42260813 0.42604197 0.43129105 0.43340579 0.41037074]
 [0.72273926 0.72686687 0.73692268 0.68392783 0.69466754 0.70325628
  0.71188804 0.71980021 0.72485974 0.72743733 0.7296189  0.72912358
  0.72821111 0.72164078 0.72019359 0.71820211 0.71699693 0.71742121
  0.7190506  0.72270791 0.72871712 0.73735997 0.74903991 0.76192904
  0.77438828 0.79040881 0.81299166 0.84716618 0.89494952 0.91659409]
 [0.51094271 0.51093158 0.51109232 0.51151394 0.51274861 0.51314609
  0.51310658 0.51395159 0.51467968 0.51507905 0.51562235 0.51627311
  0.5168142  0.51755755 0.51822809 0.51906037 0.51995391 0.52094453
  0.52211804 0.52353357 0.52524289 0.52730935 0.52982516 0.53308866
  0.53739617 0.54310325 0.54601304 0.54471542 0.54334969 0.54177825]
 [0.04074588 0.04104707 0.0434308  0.04611344 0.04943663 0.05219928
  0.0544146  0.05602713 0.05743132 0.05810475 0.05834802 0.05906711
  0.05987781 0.06224915 0.0651135  0.06952397 0.07480996 0.07512292
  0.07497596 0.07492002 0.07499306 0.07514177 0.07529579 0.07521149
  0.06994391 0.06972475 0.06954861 0.06934638 0.06918735 0.06887597]
 [0.16613836 0.16946286 0.16968068 0.23759495 0.2439899  0.25193115
  0.25766523 0.26174662 0.2633434  0.26210837 0.26061866 0.2616315
  0.26295985 0.26995749 0.2725209  0.27588271 0.27838647 0.27891556
  0.27802616 0.2750634  0.26980807 0.26207131 0.25166728 0.23859669
  0.22787547 0.21289915 0.19074836 0.15633559 0.10381686 0.08009451]
 [0.48905595 0.48893839 0.48796411 0.48706864 0.48668455 0.48576547
  0.48502104 0.48531088 0.48564258 0.4857924  0.48611936 0.48627169
  0.48627317 0.48579129 0.48506303 0.48383156 0.48238805 0.48077685
  0.47894774 0.47684624 0.47440403 0.47152324 0.46807164 0.4638829
  0.45854522 0.4511866  0.44595877 0.44467843 0.44324233 0.44179699]
 [0.66614777 0.6700002  0.67712123 0.62072086 0.62727502 0.63245959
  0.63926867 0.64574535 0.64977998 0.65171232 0.65333451 0.65155042
  0.64924268 0.63950434 0.63444037 0.62711273 0.61986479 0.61356165
  0.60742732 0.60199085 0.59726565 0.59311662 0.58936694 0.58623052
  0.58444769 0.58188815 0.57826958 0.57270573 0.57374879 0.59684729]
 [0.95925412 0.95895293 0.9565692  0.95388656 0.95056337 0.94780072
  0.9455854  0.94397287 0.94256868 0.94189525 0.94165198 0.94093289
  0.94012219 0.93775085 0.9348865  0.93047603 0.92519004 0.92487708
  0.92502404 0.92507998 0.92500694 0.92485823 0.92470421 0.92478851
  0.93005609 0.93027525 0.93045139 0.93065362 0.93081265 0.93112403]
 [1.         1.         1.         1.         1.         1.
  1.         1.         1.         1.         1.         1.
  1.         1.         1.         0.95       0.95       0.95
  0.95       0.95       0.95       0.95       0.95       0.95
  0.95       0.95       0.95       0.95       0.95       0.95      ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.        ]]","2D array of the non-dimensional end point defined along the outer profile of a layer. The TE suction side is 0, the TE pressure side is 1. The first dimension represents each layer, the second dimension represents each entry along blade span."
